Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Total_Services,Revenue_Per_Month,Charge_To_Revenue_Ratio,Refund_Rate,Has_Refund,Has_Extra_Charges,High_Value_Customer,Service_Adoption_Rate,Churn_Prediction,Churn_Probability,Risk_Level,Predicted_Status,Top_Risk_Factors
31049-TAM,Female,61,No,Tamil Nadu,7,8,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.85,167.3,0.0,0,28.28,195.58,Churned,Competitor,Competitor made better offer,5,21.73111111111111,0.4367178756740258,0.0,0,0,0,0.5,1,0.9986761,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), No Premium Support"
74023-JAM,Female,20,Yes,Jammu & Kashmir,6,11,,Yes,Yes,Yes,Cable,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,47.15,223.15,0.0,0,110.05,333.2,Churned,Competitor,Competitor made better offer,4,27.766666666666666,0.14108318372232195,0.0,0,0,0,0.4,1,0.9088664,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), No Premium Support"
79168-UTT,Female,78,No,Uttar Pradesh,2,10,Deal 5,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,44.3,89.3,0.0,0,47.82,137.12,Joined,Others,Others,2,12.465454545454547,0.320735592238633,0.0,0,0,0,0.2,1,0.8760912,Critical,Will Churn,"Low Tenure (<1 year), Low Service Adoption, No Premium Support"
66712-GUJ,Female,47,Yes,Gujarat,6,33,Deal 5,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.3,235.05,0.0,0,41.16,276.21,Joined,Others,Others,5,8.123823529411764,0.30410158363695394,0.0,0,0,0,0.5,1,0.9992926,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
32554-DEL,Male,28,No,Delhi,0,21,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.9,75.9,0.0,0,44.56,120.46,Churned,Competitor,Competitor made better offer,3,5.475454545454546,0.6248970854602339,0.0,0,0,0,0.3,1,0.99946433,Critical,Will Churn,Month-to-Month Contract
65631-RAJ,Female,50,No,Rajasthan,15,7,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.55,85.55,0.0,0,33.34,118.89,Churned,Other,Moved,4,14.86125,0.7135707732087747,0.0,0,0,0,0.4,1,0.9986865,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), No Premium Support"
86508-UTT,Male,50,No,Uttar Pradesh,8,7,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.35,1444.65,0.0,0,733.95,2178.6,Churned,Competitor,Competitor had better devices,6,272.325,0.04282895944209947,0.0,0,0,0,0.6,1,0.9265523,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), No Premium Support"
53815-BIH,Female,36,No,Bihar,2,4,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.7,19.7,0.0,0,34.28,53.98,Joined,Others,Others,1,10.796,0.35831211349581665,0.0,0,0,0,0.1,1,0.99694747,Critical,Will Churn,"Month-to-Month Contract, Short Tenure (<6 months), Low Service Adoption"
34110-MAH,Female,20,Yes,Maharashtra,6,3,,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.1,50.1,0.0,0,29.13,79.23,Joined,Others,Others,3,19.8075,0.6244546927583198,0.0,0,0,0,0.3,1,0.997106,Critical,Will Churn,"Month-to-Month Contract, Short Tenure (<6 months), No Premium Support"
81184-BIH,Male,60,No,Bihar,9,36,Deal 3,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.05,2227.1,0.0,0,471.8,2698.9,Churned,Competitor,Competitor had better devices,4,72.94324324324324,0.030019630356679875,0.0,0,0,0,0.4,1,0.86838824,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
73571-DEL,Male,77,No,Delhi,14,20,,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,Churned,Attitude,Attitude of support person,3,100.8995238095238,0.03547353872134875,0.0,0,0,0,0.3,1,0.79681057,Critical,Will Churn,"Month-to-Month Contract, No Premium Support"
12056-WES,Male,27,No,West Bengal,2,20,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.4,268.45,0.0,0,94.44,362.89,Joined,Others,Others,6,17.28047619047619,0.24842672236115312,0.0,0,0,0,0.6,1,0.9893611,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
73101-JAM,Male,21,Yes,Jammu & Kashmir,4,3,Deal 5,Yes,Yes,Yes,Cable,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,181.5,0.0,0,80.86,262.36,Churned,Competitor,Competitor made better offer,5,65.59,0.32522023086269747,0.0,0,0,0,0.5,1,0.9985051,Critical,Will Churn,"Month-to-Month Contract, Short Tenure (<6 months), No Premium Support"
84766-UTT,Female,53,No,Uttar Pradesh,9,2,,Yes,No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,72.9,651.4,0.0,0,319.41,970.81,Churned,Competitor,Competitor made better offer,7,323.6033333333333,0.07501466336012184,0.0,0,0,0,0.7,1,0.8803619,Critical,Will Churn,"Month-to-Month Contract, Short Tenure (<6 months)"
57610-JAM,Female,79,No,Jammu & Kashmir,2,24,Deal 3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,Churned,Attitude,Attitude of support person,3,152.7292,0.019611282902574603,0.0,0,0,0,0.3,1,0.9655011,Critical,Will Churn,"Month-to-Month Contract, No Premium Support"
57568-KER,Female,39,No,Kerala,14,15,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.75,58.85,0.0,0,73.89,132.74,Churned,Attitude,Attitude of support person,1,8.29625,0.14767459249289666,0.0,0,0,0,0.1,1,0.5774223,High,Will Churn,"Month-to-Month Contract, Low Service Adoption, No Premium Support"
78121-MAH,Male,33,Yes,Maharashtra,0,17,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,21.05,113.85,0.0,0,171.3,285.15,Churned,Attitude,Attitude of support person,1,15.841666666666665,0.07356281670452561,0.0,0,0,0,0.1,1,0.69651395,High,Will Churn,"Month-to-Month Contract, Low Service Adoption, No Premium Support"
99322-HAR,Female,34,Yes,Haryana,11,10,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.7,5036.3,0.0,0,2172.17,7208.47,Churned,Competitor,Competitor had better devices,8,655.3154545454546,0.014383859007666306,0.0,0,0,1,0.8,1,0.9268958,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), No Premium Support"
84842-KER,Female,61,Yes,Kerala,9,20,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,95.45,0.0,0,5.59,101.04,Churned,Competitor,Competitor had better devices,6,4.811428571428571,0.9354174833398667,0.0,0,0,0,0.6,1,0.99926823,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
67882-JAM,Female,43,Yes,Jammu & Kashmir,2,8,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,101.15,842.9,0.0,0,135.04,977.94,Churned,Competitor,Competitor made better offer,7,108.66000000000001,0.10332604654013525,0.0,0,0,0,0.7,1,0.90389663,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), No Premium Support"
46172-ASS,Male,60,Yes,Assam,1,20,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.1,453.4,0.0,0,155.45,608.85,Churned,Competitor,Competitor made better offer,6,28.992857142857144,0.15757973272116094,0.0,0,0,0,0.6,1,0.966912,Critical,Will Churn,"Month-to-Month Contract, High Monthly Charge"
43887-MAH,Female,62,Yes,Maharashtra,4,27,,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.15,6010.05,0.0,0,3009.13,9019.18,Churned,Dissatisfaction,Service dissatisfaction,7,322.11357142857145,0.01099202011489793,0.0,0,0,1,0.7,1,0.9217936,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
87436-TAM,Female,60,Yes,Tamil Nadu,4,26,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.8,2274.35,0.0,50,990.34,3314.69,Churned,Dissatisfaction,Service dissatisfaction,4,122.7662962962963,0.02678175583362739,0.0,0,1,0,0.4,1,0.6145104,High,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
44755-JHA,Female,28,Yes,Jharkhand,9,19,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.55,80.55,0.0,0,43.67,124.22,Churned,Competitor,Competitor had better devices,3,6.211,0.6432678485864878,0.0,0,0,0,0.3,1,0.9997876,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
82129-JHA,Female,26,No,Jharkhand,9,8,Deal 5,Yes,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,58.7,168.6,0.0,0,34.41,203.01,Joined,Others,Others,4,22.556666666666665,0.28773099357874615,0.0,0,0,0,0.4,1,0.99277097,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), No Premium Support"
56933-MAH,Female,26,No,Maharashtra,6,32,,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.85,2331.3,0.0,0,872.85,3204.15,Churned,Other,Don't know,7,97.09545454545454,0.03115298815968051,0.0,0,0,0,0.7,1,0.8183366,Critical,Will Churn,"Month-to-Month Contract, High Monthly Charge"
68194-UTT,Female,60,No,Uttar Pradesh,0,23,,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.35,89.5,0.0,0,50.98,140.48,Churned,Competitor,Competitor had better devices,2,5.853333333333333,0.3205400056545095,0.0,0,0,0,0.2,1,0.9978975,Critical,Will Churn,"Month-to-Month Contract, Low Service Adoption, No Premium Support"
